county_name,physically_unhealthy_days,mentally_unhealthy_days,air_quality_score_rating,food_environment_index,percent_poor_health,life_expectancy,percent_physical_distress,percent_mental_distress,allowable_count
Nash,4.2129232739,4.137706997,10.5,6.8,19.674727936,75.146901412,13.039605516,13.065973554,0
New Hanover,3.9357727244,4.2683146796,8.4,7.2,15.825482193,79.237937752,12.168624726,13.170120954,0
Northampton,4.6825244599,4.455588585,9.6,5.8,23.455464518,76.372548464,14.860908543,14.490212525,7272
Onslow,4.0676679281,4.1401958215,9.5,7.1,18.047138427,76.718733994,12.435918538,12.695751477,0
Orange,3.6831402616,3.7300769556,10.7,7.5,14.291492143,82.086503464,11.252064064,11.656032773,0
Pamlico,4.0855335459,4.125336658,8.6,7.8,17.511145131,78.077503006,12.593127015,12.8433135,0
Pasquotank,4.0842789887,4.1860348439,8.5,6.1,18.892109396,76.193947041,12.851215452,13.142134157,0
Pender,3.9917432095,4.1983579761,9.4,7.9,16.822267046,76.816486775,12.186455455,12.594159176,4640
Perquimans,4.1862663229,4.2757474401,8.5,7.5,17.82130568,78.072116671,13.112819387,13.680488814,0
Person,4.2371400492,4.3068208053,10.1,7.3,18.749314576,76.046899845,13.029086951,13.381228668,0
Pitt,4.2968821321,4.1449189414,9.8,6.7,18.371780019,78.476446162,13.429209896,13.601058351,0
Polk,3.7013120404,3.9339967714,9.5,8.6,14.56292343,79.248801999,11.241214508,12.060083728,0
Randolph,4.2312051773,4.2101746596,10.9,7.6,18.338246263,75.934360063,13.137011811,13.242477296,0
Richmond,4.7675965397,4.5608276825,10.2,6.5,22.152687639,73.967584844,15.286453841,14.911633719,0
Robeson,5.594226597,5.2095052356,10.1,6.5,30.037626404,73.152140766,18.259433838,17.227353295,32560
Rockingham,4.1978850789,4.3682953709,10.3,6.7,17.972562268,75.657315094,13.004647923,13.570346369,0
Rowan,4.3617639372,4.283802554,10.6,7.1,18.166850161,75.22584619,13.189953673,13.153078691,0
Rutherford,4.4227761188,4.4874834507,10.1,6.9,18.822772262,75.734430755,13.731380764,14.074226765,0
Sampson,4.6424569924,4.3700376976,10.7,7.5,22.735346872,75.685497577,14.922329324,14.409221698,74394
Scotland,5.0806136291,4.7568595199,10.2,5.6,24.397278139,74.114778903,16.332613703,15.481604804,7920
Stanly,3.8844061921,4.0355329275,10.5,8,16.468114249,75.806001719,11.962191445,12.584144043,0
Stokes,3.9060380778,4.1079247455,9.8,7.9,14.949750544,75.991569099,11.798716827,12.506709281,0
Surry,4.3031613414,4.5196172977,9.6,8.1,18.945609764,75.177122213,13.303494199,14.022947786,0
Swain,4.8181160131,4.7550984842,8.4,8,21.405758274,73.270509705,15.264442973,15.375920623,0
Transylvania,4.0562388206,4.0807201637,8.7,8.1,16.32592321,80.215375093,12.365371922,12.899642292,0
Tyrrell,4.6864883299,4.4057244485,7.9,6.3,23.023572917,78.270262736,15.077784187,14.433063506,0
Union,3.55617727,3.7338203996,10.9,8.6,13.910283688,79.692419786,10.673817655,11.293316456,0
Vance,4.7571807619,4.5744838895,10,6.2,23.880031144,73.383002476,15.16927393,14.819169646,0
Wake,3.2818029256,3.463126103,11,8,13.391759885,81.623908609,10.026010502,10.787134306,0
Warren,4.5676015352,4.4180294966,9.7,6.4,22.941932206,76.965757055,14.612719225,14.306943165,0
Washington,4.6914009951,4.54142224,8.6,5.4,23.914689554,76.204897246,14.863668737,14.617046638,0
Watauga,4.3106074611,4.5564770338,8.3,7.3,18.005719241,82.048460486,13.646595437,14.476612023,0
Wayne,4.5547539421,4.4574759231,10.7,6.6,20.757448703,76.143496714,14.238152295,14.018984933,0
Wilkes,4.2755274879,4.2954937235,9.6,7.6,17.578168147,76.453835104,13.309091128,13.773587529,0
Wilson,4.4363187483,4.3726535038,10.7,6.9,21.263677217,75.854356566,13.778560457,13.790906765,0
Yadkin,4.1439862743,4.2476568086,9.9,8.4,17.355597654,77.026845765,12.8466801,13.338376063,0
Yancey,4.336282138,4.3946948051,8.6,8.1,18.178353644,78.362972878,13.318758631,13.791327177,0
